InvoiceId,EBELN,MBLNR,VendorId,InvoiceDate,GR_Date,Qty_PO,Qty_GR,Qty_Invoiced,Unit_Price_PO_EUR,Unit_Price_Invoice_EUR,Amount_PO_EUR,Amount_Invoice_EUR,Price_Delta_EUR,PaymentTerms,Status,Anomaly
MIRO0100027,454500049,495000000027,VND-0008,2021-01-28,2020-12-29,8,8,8,9412082.89,9412082.89,75296663.12,75296663.12,0.0,NET30,Posted,
MIRO0100028,454500050,495000000028,VND-0009,2024-01-14,2024-01-01,10,10,10,603650.67,603650.67,6036506.7,6036506.7,0.0,NET90,Paid,
MIRO0100029,454500051,495000000029,VND-0001,2022-08-24,2022-08-11,4,4,4,4525205.01,4525205.01,18100820.04,18100820.04,0.0,NET60,Posted,
MIRO0100030,454500054,495000000030,VND-0009,2023-12-23,2023-12-13,39,39,39,43.68,43.68,1703.52,1703.52,0.0,NET60,Blocked,
MIRO0100031,454500055,495000000031,VND-0008,2022-06-22,2022-06-16,11,6,6,8519.68,8519.68,93716.48,51118.08,0.0,NET60,Paid,
MIRO0100032,454500056,495000000032,VND-0011,2020-01-06,2019-12-16,16,12,12,72295.17,72295.17,1156722.72,867542.04,0.0,NET30,Blocked,
MIRO0100033,454500059,495000000033,VND-0001,2021-11-09,2021-11-08,23,23,23,72583.35,72583.35,1669417.05,1669417.05,0.0,NET30,Paid,
MIRO0100034,454500060,495000000034,VND-0004,2019-10-20,2019-10-16,18,11,11,74230.03,74230.03,1336140.54,816530.33,0.0,NET30,Posted,
MIRO0100035,454500062,495000000035,VND-0003,2021-03-10,2021-02-25,8,4,4,1803245.62,1803245.62,14425964.96,7212982.48,0.0,NET60,Paid,
MIRO0100036,454500066,495000000036,VND-0002,2021-09-10,2021-09-04,10,10,10,572947.3,572947.3,5729473.0,5729473.0,0.0,NET45,Blocked,
MIRO0100037,454500068,495000000037,VND-0006,2021-04-20,2021-04-08,9,9,9,1779372.87,1779372.87,16014355.83,16014355.83,0.0,NET45,Parked,
MIRO0100038,454500069,495000000038,VND-0007,2024-06-09,2024-05-21,6,6,6,5619314.89,5619314.89,33715889.34,33715889.34,0.0,NET45,Blocked,
MIRO0100039,454500070,495000000039,VND-0013,2022-05-22,2022-04-25,9,9,9,193129.39,193129.39,1738164.51,1738164.51,0.0,NET30,Paid,INVOICE_QTY_EXCESS
MIRO0100040,454500071,495000000040,VND-0005,2022-07-06,2022-06-26,8,8,8,911067.24,911067.24,7288537.92,7288537.92,0.0,NET45,Parked,
MIRO0100041,454500072,495000000041,VND-0003,2023-12-12,2023-12-06,8,4,4,9062422.17,9062422.17,72499377.36,36249688.68,0.0,NET45,Paid,
MIRO0100042,454500073,495000000042,VND-0009,2023-10-14,2023-09-14,4,4,4,3921531.91,3921531.91,15686127.64,15686127.64,0.0,NET90,Paid,
MIRO0100043,454500074,495000000043,VND-0013,2020-11-25,2020-11-21,1,1,1,3926531.85,3926531.85,3926531.85,3926531.85,0.0,NET45,Posted,
MIRO0100044,454500075,495000000044,VND-0009,2024-02-20,2024-02-12,34,24,24,73125.09,73125.09,2486253.06,1755002.16,0.0,NET90,Posted,
MIRO0100045,454500076,495000000045,VND-0004,2021-01-09,2021-01-07,2,2,2,807616.28,807616.28,1615232.56,1615232.56,0.0,NET30,Paid,
MIRO0100046,454500077,495000000046,VND-0012,2023-03-19,2023-03-16,8,8,8,202490.39,202490.39,1619923.12,1619923.12,0.0,NET90,Paid,
MIRO0100047,454500079,495000000047,VND-0002,2022-06-16,2022-05-26,1,0,0,75888.77,75888.77,75888.77,0.0,0.0,NET90,Paid,
MIRO0100048,454500080,495000000048,VND-0002,2020-05-01,2020-04-21,5,5,5,97666.44,97666.44,488332.2,488332.2,0.0,NET90,Posted,
MIRO0100049,454500081,495000000049,VND-0004,2022-05-23,2022-05-07,2,2,2,958827.1,1021771.97,1917654.2,2043543.94,125889.74,NET90,Parked,INVOICE_PRICE_DEVIATION
MIRO0100050,454500082,495000000050,VND-0015,2023-01-19,2023-01-09,8,6,6,4063821.31,4063821.31,32510570.48,24382927.86,0.0,NET60,Paid,
MIRO0100051,454500083,495000000051,VND-0011,2019-10-27,2019-10-04,4,2,2,202092.11,237395.29,808368.44,474790.58,70606.36,NET45,Paid,INVOICE_PRICE_DEVIATION
MIRO0100052,454500084,495000000052,VND-0008,2019-08-28,2019-08-18,10,6,6,1890853.39,1890853.39,18908533.9,11345120.34,0.0,NET45,Parked,
MIRO0100053,454500085,495000000053,VND-0015,2023-07-24,2023-06-30,5,5,5,397499.94,419042.24,1987499.7,2095211.2,107711.5,NET60,Posted,INVOICE_PRICE_DEVIATION
MIRO0100054,454500087,495000000054,VND-0015,2022-03-07,2022-02-23,19,19,19,91104.34,91104.34,1730982.46,1730982.46,0.0,NET90,Paid,
MIRO0100055,454500088,495000000055,VND-0008,2024-09-25,2024-09-08,6,6,6,76176.44,76176.44,457058.64,457058.64,0.0,NET30,Paid,
MIRO0100056,454500089,495000000056,VND-0011,2019-09-01,2019-08-28,10,10,10,385297.07,385297.07,3852970.7,3852970.7,0.0,NET45,Paid,
MIRO0100057,454500090,495000000057,VND-0011,2021-02-02,2021-01-30,29,19,19,48.0,48.0,1392.0,912.0,0.0,NET30,Posted,
MIRO0100058,454500091,495000000058,VND-0007,2019-12-21,2019-12-08,6,3,3,310838.18,310838.18,1865029.08,932514.54,0.0,NET60,Posted,
MIRO0100059,454500093,495000000059,VND-0008,2022-08-07,2022-07-30,27,27,27,7615.12,7615.12,205608.24,205608.24,0.0,NET60,Paid,
MIRO0100060,454500095,495000000060,VND-0012,2020-02-18,2020-02-05,3,2,2,368493.61,368493.61,1105480.83,736987.22,0.0,NET90,Posted,
MIRO0100061,454500096,495000000061,VND-0011,2023-07-25,2023-07-20,3,3,3,5498570.44,5498570.44,16495711.32,16495711.32,0.0,NET60,Paid,
MIRO0100062,454500097,495000000062,VND-0008,2021-01-15,2021-01-01,9,9,9,358394.23,358394.23,3225548.07,3225548.07,0.0,NET60,Posted,
MIRO0100063,454500098,495000000063,VND-0006,2019-08-12,2019-07-14,9,9,9,1829220.49,1829220.49,16462984.41,16462984.41,0.0,NET90,Paid,
MIRO0100064,454500099,495000000064,VND-0008,2021-10-18,2021-10-04,9,9,9,4089727.95,4089727.95,36807551.55,36807551.55,0.0,NET45,Paid,
MIRO0100065,454500101,495000000065,VND-0008,2025-06-13,2025-05-28,1,0,0,3854817.55,3854817.55,3854817.55,0.0,0.0,NET30,Paid,INVOICE_QTY_EXCESS
MIRO0100066,454500105,495000000066,VND-0007,2023-03-18,2023-03-03,2,1,1,989576.19,989576.19,1979152.38,989576.19,0.0,NET30,Parked,
MIRO0100067,454500107,495000000067,VND-0003,2022-02-13,2022-02-09,2,2,2,3764819.14,3764819.14,7529638.28,7529638.28,0.0,NET30,Posted,
MIRO0100068,454500109,495000000068,VND-0002,2022-11-03,2022-10-23,8,8,8,3963579.5,3963579.5,31708636.0,31708636.0,0.0,NET90,Posted,
MIRO0100069,454500110,495000000069,VND-0004,2020-01-20,2020-01-10,7,4,4,655050.88,655050.88,4585356.16,2620203.52,0.0,NET30,Paid,
MIRO0100070,454500112,495000000070,VND-0013,2021-02-03,2021-01-21,6,3,3,176682.53,176682.53,1060095.18,530047.59,0.0,NET30,Parked,
MIRO0100071,454500114,495000000071,VND-0003,2021-12-17,2021-12-01,9,9,9,222649.08,222649.08,2003841.72,2003841.72,0.0,NET30,Blocked,
MIRO0100072,454500115,495000000072,VND-0013,2021-05-25,2021-05-21,19,19,20,77958.71,77958.71,1481215.49,1559174.2,0.0,NET30,Paid,INVOICE_QTY_EXCESS
MIRO0100073,454500116,495000000073,VND-0006,2019-09-07,2019-08-12,6,6,6,8581.37,9571.59,51488.22,57429.54,5941.32,NET60,Blocked,INVOICE_PRICE_DEVIATION
MIRO0100074,454500118,495000000074,VND-0004,2022-02-13,2022-02-08,2,2,2,189007.96,189007.96,378015.92,378015.92,0.0,NET45,Paid,
MIRO0100075,454500123,495000000075,VND-0013,2020-08-23,2020-07-30,6,3,3,1726147.84,1726147.84,10356887.04,5178443.52,0.0,NET45,Posted,
MIRO0100076,454500126,495000000076,VND-0001,2020-05-28,2020-05-19,3,3,3,9143358.61,9143358.61,27430075.83,27430075.83,0.0,NET45,Paid,
MIRO0100077,454500128,495000000077,VND-0011,2022-05-02,2022-04-30,1,0,0,3904874.67,3904874.67,3904874.67,0.0,0.0,NET60,Blocked,
MIRO0100078,454500129,495000000078,VND-0006,2020-03-17,2020-03-09,10,10,10,896546.74,896546.74,8965467.4,8965467.4,0.0,NET90,Posted,
MIRO0100079,454500131,495000000079,VND-0008,2024-05-25,2024-05-10,4,2,2,1873799.33,2036569.57,7495197.32,4073139.14,325540.48,NET60,Parked,INVOICE_PRICE_DEVIATION
MIRO0100080,454500133,495000000080,VND-0012,2022-05-04,2022-04-29,6,6,6,5774356.97,5774356.97,34646141.82,34646141.82,0.0,NET30,Paid,
MIRO0100081,454500135,495000000081,VND-0009,2022-03-21,2022-03-07,14,14,15,86917.63,86917.63,1216846.82,1303764.45,0.0,NET60,Posted,INVOICE_QTY_EXCESS
MIRO0100082,454500136,495000000082,VND-0013,2024-03-17,2024-03-12,5,5,5,5565208.0,5565208.0,27826040.0,27826040.0,0.0,NET30,Posted,
MIRO0100083,454500139,495000000083,VND-0004,2021-05-07,2021-04-18,25,23,23,44.42,49.22,1110.5,1132.06,110.4,NET30,Paid,INVOICE_PRICE_DEVIATION
MIRO0100084,454500145,495000000084,VND-0007,2023-05-04,2023-04-09,37,34,34,90593.1,90593.1,3351944.7,3080165.4,0.0,NET30,Posted,
MIRO0100085,454500146,495000000085,VND-0008,2024-01-30,2024-01-03,6,5,5,172808.64,172808.64,1036851.84,864043.2,0.0,NET90,Posted,
MIRO0100086,454500147,495000000086,VND-0014,2020-12-04,2020-11-14,5,5,5,2910120.56,2910120.56,14550602.8,14550602.8,0.0,NET45,Paid,
MIRO0100087,454500148,495000000087,VND-0004,2024-02-18,2024-01-29,50,50,50,43.92,43.92,2196.0,2196.0,0.0,NET90,Blocked,
MIRO0100088,454500150,495000000088,VND-0013,2025-02-23,2025-01-25,38,38,38,91247.89,91247.89,3467419.82,3467419.82,0.0,NET60,Posted,
MIRO0100089,454500151,495000000089,VND-0008,2023-01-28,2023-01-18,2,2,2,4079612.23,4079612.23,8159224.46,8159224.46,0.0,NET90,Paid,
MIRO0100090,454500152,495000000090,VND-0005,2020-01-04,2019-12-06,8,8,8,942690.91,942690.91,7541527.28,7541527.28,0.0,NET90,Paid,
MIRO0100091,454500153,495000000091,VND-0009,2022-04-06,2022-04-01,7,3,3,183896.27,204410.95,1287273.89,613232.85,61544.04,NET45,Paid,INVOICE_PRICE_DEVIATION
MIRO0100092,454500156,495000000092,VND-0006,2023-12-05,2023-11-30,5,5,5,470659.3,470659.3,2353296.5,2353296.5,0.0,NET90,Blocked,
MIRO0100093,454500157,495000000093,VND-0002,2021-03-25,2021-03-11,9,9,9,9771136.6,9771136.6,87940229.4,87940229.4,0.0,NET90,Blocked,
MIRO0100094,454500158,495000000094,VND-0002,2024-09-28,2024-09-17,10,9,9,9748690.4,9748690.4,97486904.0,87738213.6,0.0,NET45,Posted,
MIRO0100095,454500159,495000000095,VND-0012,2022-02-27,2022-02-04,2,2,2,179363.62,179363.62,358727.24,358727.24,0.0,NET60,Paid,
MIRO0100096,454500161,495000000096,VND-0003,2024-01-08,2023-12-21,3,3,3,354291.64,354291.64,1062874.92,1062874.92,0.0,NET60,Parked,
MIRO0100097,454500165,495000000097,VND-0013,2022-08-29,2022-08-22,5,2,2,4386899.35,4386899.35,21934496.75,8773798.7,0.0,NET90,Posted,
MIRO0100098,454500166,495000000098,VND-0014,2022-07-15,2022-06-18,5,5,5,3806229.95,3806229.95,19031149.75,19031149.75,0.0,NET90,Posted,
MIRO0100099,454500168,495000000099,VND-0015,2022-01-05,2021-12-29,1,0,0,315642.72,315642.72,315642.72,0.0,0.0,NET90,Paid,
MIRO0100100,454500169,495000000100,VND-0001,2024-10-10,2024-09-26,6,3,3,406194.22,406194.22,2437165.32,1218582.66,0.0,NET45,Posted,
MIRO0100101,454500170,495000000101,VND-0012,2022-05-26,2022-05-04,9,9,9,78106.09,78106.09,702954.81,702954.81,0.0,NET45,Parked,
MIRO0100102,454500171,495000000102,VND-0014,2024-01-24,2024-01-05,3,3,3,211639.82,211639.82,634919.46,634919.46,0.0,NET90,Posted,
MIRO0100103,454500172,495000000103,VND-0002,2023-08-07,2023-07-30,1,1,1,594053.2,594053.2,594053.2,594053.2,0.0,NET90,Posted,
MIRO0100104,454500173,495000000104,VND-0001,2020-09-20,2020-08-21,41,29,29,11262.58,11262.58,461765.78,326614.82,0.0,NET30,Paid,
MIRO0100105,454500175,495000000105,VND-0007,2021-12-05,2021-11-09,8,5,5,6409124.42,6750217.45,51272995.36,33751087.25,1705465.15,NET30,Posted,INVOICE_PRICE_DEVIATION
MIRO0100106,454500178,495000000106,VND-0015,2024-05-29,2024-05-26,5,5,5,14025944.16,14025944.16,70129720.8,70129720.8,0.0,NET45,Paid,
MIRO0100107,454500179,495000000107,VND-0014,2024-02-06,2024-01-30,6,4,4,1734686.38,1734686.38,10408118.28,6938745.52,0.0,NET60,Parked,
MIRO0100108,454500180,495000000108,VND-0003,2022-01-09,2021-12-13,8,7,7,9791944.11,9791944.11,78335552.88,68543608.77,0.0,NET45,Posted,
MIRO0100109,454500182,495000000109,VND-0012,2022-01-22,2022-01-18,7,6,6,175132.69,175132.69,1225928.83,1050796.14,0.0,NET45,Posted,
MIRO0100110,454500183,495000000110,VND-0005,2023-04-26,2023-04-22,1,0,0,1770812.51,1770812.51,1770812.51,0.0,0.0,NET45,Parked,
MIRO0100111,454500186,495000000111,VND-0009,2023-03-04,2023-02-11,6,5,5,4033110.33,4033110.33,24198661.98,20165551.65,0.0,NET45,Paid,
MIRO0100112,454500187,495000000112,VND-0007,2023-11-08,2023-10-17,36,36,36,42.25,42.25,1521.0,1521.0,0.0,NET30,Paid,
MIRO0100113,454500190,495000000113,VND-0004,2023-09-25,2023-09-20,8,6,6,48.49,48.49,387.92,290.94,0.0,NET90,Posted,
MIRO0100114,454500191,495000000114,VND-0006,2022-05-11,2022-05-10,30,30,30,96469.9,96469.9,2894097.0,2894097.0,0.0,NET60,Paid,
MIRO0100115,454500193,495000000115,VND-0011,2024-10-30,2024-10-11,9,9,9,4095513.93,4095513.93,36859625.37,36859625.37,0.0,NET30,Paid,
MIRO0100116,454500194,495000000116,VND-0015,2022-04-21,2022-03-30,4,3,3,47.39,47.39,189.56,142.17,0.0,NET30,Paid,
MIRO0100117,454500195,495000000117,VND-0015,2021-01-06,2021-01-03,19,19,19,47.49,47.49,902.31,902.31,0.0,NET90,Paid,
MIRO0100118,454500198,495000000118,VND-0013,2022-09-19,2022-09-15,10,10,10,207197.32,207197.32,2071973.2,2071973.2,0.0,NET45,Paid,
MIRO0100119,454500199,495000000119,VND-0004,2021-10-03,2021-09-22,44,44,44,73873.11,73873.11,3250416.84,3250416.84,0.0,NET30,Posted,
MIRO0100120,454500200,495000000120,VND-0004,2021-05-09,2021-04-13,6,6,6,4271675.7,4271675.7,25630054.2,25630054.2,0.0,NET90,Paid,
MIRO0100121,454500203,495000000121,VND-0004,2022-08-28,2022-08-16,3,3,3,9497363.62,9497363.62,28492090.86,28492090.86,0.0,NET60,Paid,
MIRO0100122,454500204,495000000122,VND-0009,2021-03-08,2021-02-07,8,6,6,3984996.32,3984996.32,31879970.56,23909977.92,0.0,NET45,Posted,
MIRO0100123,454500205,495000000123,VND-0001,2024-08-02,2024-07-25,7,7,7,8109.38,8109.38,56765.66,56765.66,0.0,NET90,Posted,
MIRO0100124,454500206,495000000124,VND-0001,2021-12-15,2021-12-06,10,6,6,2827693.96,2827693.96,28276939.6,16966163.76,0.0,NET90,Paid,
MIRO0100125,454500208,495000000125,VND-0013,2022-07-12,2022-07-01,3,3,3,415348.07,415348.07,1246044.21,1246044.21,0.0,NET30,Paid,
MIRO0100126,454500209,495000000126,VND-0008,2022-03-03,2022-03-02,10,8,8,45.77,45.77,457.7,366.16,0.0,NET90,Posted,
MIRO0100127,454500210,495000000127,VND-0012,2022-08-23,2022-08-21,5,5,5,187774.25,187774.25,938871.25,938871.25,0.0,NET90,Posted,
MIRO0100128,454500211,495000000128,VND-0006,2022-04-22,2022-03-27,6,5,5,4316797.9,4316797.9,25900787.4,21583989.5,0.0,NET90,Blocked,
MIRO0100129,454500212,495000000129,VND-0005,2024-04-10,2024-03-30,42,42,42,78394.85,78394.85,3292583.7,3292583.7,0.0,NET60,Parked,
MIRO0100130,454500213,495000000130,VND-0009,2021-06-23,2021-06-07,10,10,10,3862566.83,3862566.83,38625668.3,38625668.3,0.0,NET90,Paid,
MIRO0100131,454500214,495000000131,VND-0001,2020-07-08,2020-07-05,8,8,8,203740.07,203740.07,1629920.56,1629920.56,0.0,NET30,Posted,
MIRO0100132,454500216,495000000132,VND-0008,2022-01-09,2022-01-04,9,9,9,3606657.59,3606657.59,32459918.31,32459918.31,0.0,NET30,Posted,
MIRO0100133,454500217,495000000133,VND-0005,2024-10-29,2024-10-26,9,9,9,367748.75,367748.75,3309738.75,3309738.75,0.0,NET30,Paid,
MIRO0100134,454500218,495000000134,VND-0006,2023-11-30,2023-11-29,36,33,33,80204.4,80204.4,2887358.4,2646745.2,0.0,NET60,Paid,
MIRO0100135,454500219,495000000135,VND-0014,2023-11-07,2023-10-18,6,5,5,3003664.77,3003664.77,18021988.62,15018323.85,0.0,NET90,Parked,
MIRO0100136,454500220,495000000136,VND-0011,2020-09-04,2020-08-24,5,5,5,4366211.47,4366211.47,21831057.35,21831057.35,0.0,NET30,Posted,
MIRO0100137,454500222,495000000137,VND-0002,2021-12-19,2021-12-14,7,7,7,1751124.56,1751124.56,12257871.92,12257871.92,0.0,NET30,Posted,
MIRO0100138,454500223,495000000138,VND-0011,2020-08-31,2020-08-08,8,5,5,1893144.35,1893144.35,15145154.8,9465721.75,0.0,NET45,Posted,INVOICE_QTY_EXCESS
MIRO0100139,454500228,495000000139,VND-0003,2024-10-13,2024-09-20,10,10,10,221966.52,221966.52,2219665.2,2219665.2,0.0,NET45,Blocked,
MIRO0100140,454500230,495000000140,VND-0005,2019-07-13,2019-07-06,10,10,10,9838781.44,9838781.44,98387814.4,98387814.4,0.0,NET45,Blocked,
MIRO0100141,454500231,495000000141,VND-0005,2022-06-11,2022-05-18,3,3,3,4136439.96,4136439.96,12409319.88,12409319.88,0.0,NET30,Blocked,
MIRO0100142,454500232,495000000142,VND-0004,2022-03-10,2022-02-21,4,4,4,198537.87,213701.72,794151.48,854806.88,60655.4,NET45,Posted,INVOICE_PRICE_DEVIATION
MIRO0100143,454500233,495000000143,VND-0015,2023-12-13,2023-11-14,31,31,31,8537.64,8537.64,264666.84,264666.84,0.0,NET30,Paid,
MIRO0100144,454500235,495000000144,VND-0009,2024-08-10,2024-08-07,10,8,8,87061.99,87061.99,870619.9,696495.92,0.0,NET45,Posted,
MIRO0100145,454500237,495000000145,VND-0008,2023-03-29,2023-03-08,44,42,42,8602.67,8602.67,378517.48,361312.14,0.0,NET90,Blocked,
MIRO0100146,454500241,495000000146,VND-0007,2020-07-11,2020-07-01,34,34,34,7711.08,7711.08,262176.72,262176.72,0.0,NET60,Paid,
MIRO0100147,454500242,495000000147,VND-0009,2021-03-14,2021-02-25,7,6,6,1998301.57,2365156.59,13988110.99,14190939.54,2201130.12,NET60,Posted,INVOICE_PRICE_DEVIATION
MIRO0100148,454500243,495000000148,VND-0010,2019-08-13,2019-08-07,1,1,1,1821162.55,1929371.38,1821162.55,1929371.38,108208.83,NET60,Paid,INVOICE_PRICE_DEVIATION
MIRO0100149,454500245,495000000149,VND-0010,2024-02-11,2024-02-09,10,8,8,9914258.08,9914258.08,99142580.8,79314064.64,0.0,NET30,Paid,
MIRO0100150,454500247,495000000150,VND-0001,2023-06-17,2023-05-19,23,23,25,80299.04,80299.04,1846877.92,2007476.0,0.0,NET30,Posted,INVOICE_QTY_EXCESS
MIRO0100151,454500248,495000000151,VND-0005,2022-11-04,2022-10-10,7,3,3,3892624.61,3892624.61,27248372.27,11677873.83,0.0,NET30,Parked,
MIRO0100152,454500250,495000000152,VND-0015,2020-06-16,2020-05-23,8,8,8,1002764.27,1002764.27,8022114.16,8022114.16,0.0,NET90,Posted,
MIRO0100153,454500251,495000000153,VND-0010,2020-12-26,2020-12-16,1,1,1,196059.17,196059.17,196059.17,196059.17,0.0,NET45,Posted,
MIRO0100154,454500252,495000000154,VND-0005,2020-05-30,2020-05-24,1,1,1,9061947.81,9994732.56,9061947.81,9994732.56,932784.75,NET90,Paid,INVOICE_PRICE_DEVIATION
MIRO0100155,454500253,495000000155,VND-0007,2023-11-09,2023-10-29,4,2,2,211749.86,211749.86,846999.44,423499.72,0.0,NET90,Blocked,
MIRO0100156,454500254,495000000156,VND-0006,2021-12-29,2021-11-30,9,9,9,827774.93,827774.93,7449974.37,7449974.37,0.0,NET90,Blocked,
MIRO0100157,454500255,495000000157,VND-0006,2024-04-02,2024-04-01,7,7,7,461970.9,461970.9,3233796.3,3233796.3,0.0,NET90,Paid,
MIRO0100158,454500256,495000000158,VND-0005,2020-12-22,2020-12-01,3,3,3,1807642.3,1807642.3,5422926.9,5422926.9,0.0,NET90,Paid,
MIRO0100159,454500257,495000000159,VND-0013,2023-06-06,2023-05-15,8,8,8,838220.23,838220.23,6705761.84,6705761.84,0.0,NET45,Posted,
MIRO0100160,454500259,495000000160,VND-0014,2021-08-03,2021-08-02,1,1,1,990179.5,990179.5,990179.5,990179.5,0.0,NET60,Posted,
MIRO0100161,454500260,495000000161,VND-0009,2023-07-01,2023-06-15,8,8,8,205739.54,205739.54,1645916.32,1645916.32,0.0,NET60,Posted,
MIRO0100162,454500261,495000000162,VND-0001,2019-04-04,2019-03-19,9,9,9,4234704.47,4234704.47,38112340.23,38112340.23,0.0,NET90,Paid,
MIRO0100163,454500263,495000000163,VND-0010,2021-06-11,2021-06-05,9,9,9,201681.25,201681.25,1815131.25,1815131.25,0.0,NET60,Paid,
MIRO0100164,454500264,495000000164,VND-0004,2023-01-19,2023-01-16,45,45,45,87964.62,87964.62,3958407.9,3958407.9,0.0,NET60,Posted,
MIRO0100165,454500266,495000000165,VND-0010,2024-05-04,2024-04-17,2,1,1,10100082.64,10100082.64,20200165.28,10100082.64,0.0,NET90,Blocked,
MIRO0100166,454500267,495000000166,VND-0001,2021-06-06,2021-05-27,2,2,2,1228553.22,1228553.22,2457106.44,2457106.44,0.0,NET60,Paid,
MIRO0100167,454500269,495000000167,VND-0014,2022-08-08,2022-07-25,25,15,15,94605.95,94605.95,2365148.75,1419089.25,0.0,NET60,Posted,
MIRO0100168,454500270,495000000168,VND-0001,2023-12-03,2023-11-21,2,1,1,316778.92,316778.92,633557.84,316778.92,0.0,NET60,Parked,
MIRO0100169,454500271,495000000169,VND-0001,2022-05-09,2022-04-23,5,4,4,9930993.17,11093532.42,49654965.85,44374129.68,4650157.0,NET90,Posted,INVOICE_PRICE_DEVIATION
