EBELN,MATNR,VendorId,VendorName,Qty_Ordered,UOM,Unit_Price_EUR,Total_Value_EUR,Currency,PO_Date,Delivery_Required_Date,Plant,PurchaseGroup,Status,Anomaly
454500020,MAT-MRO-004,VND-0009,MBDA,15,MRO,117170.29,1757554.35,EUR,2019-01-15,2019-03-22,Merignac,PG-ENGINE,Fully Delivered,PRICE_DEVIATION_HIGH
454500021,MAT-RAFx-003,VND-0009,MBDA,4,Landing Gear,916328.54,3665314.16,EUR,2021-09-21,2022-02-07,Bangalore,PG-SAFETY,Fully Delivered,
454500022,MAT-MRO-001,VND-0004,Dassault Reliance Aerospace,31,MRO,78689.96,2439388.76,EUR,2020-01-25,2020-04-12,Hyderabad,PG-MRO,Open,
454500023,MAT-FAL8-005,VND-0014,GE Aviation,1,Interior,4316500.98,4316500.98,EUR,2022-08-16,2022-11-04,Merignac,PG-AVIONICS,Open,
454500024,MAT-RAFx-007,VND-0004,Dassault Reliance Aerospace,9,Structure,208273.42,1874460.78,EUR,2021-05-14,2021-09-14,Merignac,PG-MRO,Partially Delivered,
454500025,MAT-MRO-003,VND-0002,Thales Group,4,MRO,8399.61,33598.44,EUR,2022-01-12,2022-02-18,Bordeaux,PG-AVIONICS,Blocked,
454500026,MAT-FAL8-004,VND-0008,Pratt & Whitney,8,Avionics,2634630.47,21077043.76,EUR,2021-04-01,2021-05-31,Hyderabad,PG-ENGINE,Open,PRICE_DEVIATION_HIGH
454500027,MAT-FAL8-004,VND-0012,Bharat Electronics Ltd,9,Avionics,1949208.88,17542879.92,EUR,2021-09-23,2022-01-10,Merignac,PG-SAFETY,Open,
454500028,MAT-MRO-003,VND-0001,Safran Aircraft Engines,48,MRO,7955.45,381861.6,EUR,2019-04-13,2020-03-07,Bangalore,PG-AVIONICS,Fully Delivered,
454500029,MAT-RAFx-002,VND-0009,MBDA,2,Airframe,1901186.65,3802373.3,EUR,2019-05-21,2020-04-19,Hyderabad,PG-AIRFRAME,Open,
454500030,MAT-MRO-004,VND-0004,Dassault Reliance Aerospace,38,MRO,93391.32,3548870.16,EUR,2022-06-22,2022-09-01,Bangalore,PG-ENGINE,Partially Delivered,
454500031,MAT-RAFx-009,VND-0004,Dassault Reliance Aerospace,6,Safety,747388.01,4484328.06,EUR,2021-03-21,2021-06-26,Nagpur,PG-AIRFRAME,Fully Delivered,
454500032,MAT-RAFx-001,VND-0008,Pratt & Whitney,10,Airframe,4534961.38,45349613.8,EUR,2019-07-24,2019-09-29,Bordeaux,PG-ENGINE,Fully Delivered,
454500033,MAT-RAFx-003,VND-0015,Honeywell Aerospace India,4,Landing Gear,930168.12,3720672.48,EUR,2019-11-20,2020-07-31,Bangalore,PG-SAFETY,Fully Delivered,
454500034,MAT-RAFx-001,VND-0011,Dynamatic Technologies,9,Airframe,4065182.52,36586642.68,EUR,2022-09-20,2022-12-12,Merignac,PG-AIRFRAME,Blocked,
454500035,MAT-MRO-003,VND-0003,Tata Advanced Systems Ltd,18,MRO,7913.66,142445.88,EUR,2020-03-07,2020-09-28,Nagpur,PG-SAFETY,Partially Delivered,
454500036,MAT-MRO-001,VND-0005,Hindustan Aeronautics Ltd,4,MRO,70107.58,280430.32,EUR,2021-05-17,2021-11-04,Bordeaux,PG-ENGINE,Open,
454500037,MAT-RAFx-006,VND-0012,Bharat Electronics Ltd,8,Avionics,3730594.81,29844758.48,EUR,2021-05-25,2022-04-07,Bordeaux,PG-SAFETY,Open,
454500038,MAT-RAFx-002,VND-0014,GE Aviation,6,Airframe,1823762.76,10942576.56,EUR,2019-10-31,2020-07-07,Merignac,PG-ENGINE,Open,
454500039,MAT-RAFx-007,VND-0011,Dynamatic Technologies,4,Structure,215608.96,862435.84,EUR,2020-12-25,2021-11-06,Bangalore,PG-AVIONICS,Cancelled,
454500040,MAT-RAFx-008,VND-0014,GE Aviation,3,Fuel System,572963.07,1718889.21,EUR,2023-07-19,2023-11-16,Nagpur,PG-MRO,Cancelled,PRICE_DEVIATION_HIGH
454500041,MAT-RAFx-008,VND-0005,Hindustan Aeronautics Ltd,3,Fuel System,397472.37,1192417.11,EUR,2019-08-10,2020-03-22,Bordeaux,PG-AVIONICS,Cancelled,
454500042,MAT-FAL8-005,VND-0006,Reliance Defence Ltd,5,Interior,4415400.45,22077002.25,EUR,2023-11-20,2024-04-14,Hyderabad,PG-ENGINE,Partially Delivered,
454500043,MAT-RAFx-009,VND-0014,GE Aviation,2,Safety,838267.76,1676535.52,EUR,2020-07-25,2021-02-19,Bangalore,PG-ENGINE,Fully Delivered,
454500044,MAT-RAFx-001,VND-0002,Thales Group,5,Airframe,3983997.57,19919987.85,EUR,2024-05-25,2024-11-06,Nagpur,PG-ENGINE,Open,
454500045,MAT-FAL8-004,VND-0010,Elbit Systems India,9,Avionics,2664978.25,23984804.25,EUR,2024-01-17,2024-12-07,Bangalore,PG-SAFETY,Open,PRICE_DEVIATION_HIGH
454500046,MAT-RAFx-007,VND-0006,Reliance Defence Ltd,7,Structure,195551.12,1368857.84,EUR,2022-09-22,2023-04-09,Merignac,PG-ENGINE,Fully Delivered,
454500047,MAT-MRO-002,VND-0005,Hindustan Aeronautics Ltd,43,MRO,44.34,1906.62,EUR,2021-04-04,2021-10-02,Hyderabad,PG-AVIONICS,Fully Delivered,
454500048,MAT-MRO-005,VND-0010,Elbit Systems India,5,MRO,182219.82,911099.1,EUR,2023-09-04,2023-10-04,Bangalore,PG-SAFETY,Partially Delivered,
454500049,MAT-FAL8-001,VND-0008,Pratt & Whitney,8,Airframe,9412082.89,75296663.12,EUR,2020-03-13,2020-12-29,Bordeaux,PG-AIRFRAME,Fully Delivered,
454500050,MAT-RAFx-010,VND-0009,MBDA,10,Avionics,603650.67,6036506.7,EUR,2023-08-04,2024-01-01,Bordeaux,PG-AVIONICS,Fully Delivered,
454500051,MAT-RAFx-001,VND-0001,Safran Aircraft Engines,4,Airframe,4525205.01,18100820.04,EUR,2022-06-05,2022-08-11,Bangalore,PG-AVIONICS,Fully Delivered,
454500052,MAT-FAL8-003,VND-0008,Pratt & Whitney,7,Engine,2685305.03,18797135.21,EUR,2022-09-05,2022-10-07,Merignac,PG-MRO,Cancelled,
454500053,MAT-RAFx-008,VND-0003,Tata Advanced Systems Ltd,9,Fuel System,377844.63,3400601.67,EUR,2022-02-15,2022-07-22,Bordeaux,PG-MRO,Cancelled,
454500054,MAT-MRO-002,VND-0009,MBDA,39,MRO,43.68,1703.52,EUR,2023-03-27,2023-12-08,Bangalore,PG-MRO,Fully Delivered,
454500055,MAT-MRO-003,VND-0008,Pratt & Whitney,11,MRO,8519.68,93716.48,EUR,2021-08-30,2022-05-17,Nagpur,PG-SAFETY,Partially Delivered,
454500056,MAT-MRO-001,VND-0011,Dynamatic Technologies,16,MRO,72295.17,1156722.72,EUR,2019-06-08,2019-12-01,Bangalore,PG-AIRFRAME,Partially Delivered,
454500057,MAT-RAFx-005,VND-0003,Tata Advanced Systems Ltd,4,Avionics,4023271.15,16093084.6,EUR,2019-11-09,2020-03-27,Bangalore,PG-MRO,Open,
454500058,MAT-FAL8-004,VND-0001,Safran Aircraft Engines,4,Avionics,2960636.69,11842546.76,EUR,2021-03-08,2022-01-31,Bangalore,PG-MRO,Blocked,PRICE_DEVIATION_HIGH
454500059,MAT-MRO-001,VND-0001,Safran Aircraft Engines,23,MRO,72583.35,1669417.05,EUR,2021-03-09,2021-11-08,Bangalore,PG-AVIONICS,Fully Delivered,
454500060,MAT-MRO-001,VND-0004,Dassault Reliance Aerospace,18,MRO,74230.03,1336140.54,EUR,2019-03-01,2019-10-16,Hyderabad,PG-AVIONICS,Partially Delivered,
454500061,MAT-FAL8-005,VND-0015,Honeywell Aerospace India,3,Interior,4523045.17,13569135.51,EUR,2021-12-29,2022-02-10,Merignac,PG-AIRFRAME,Cancelled,
454500062,MAT-FAL8-004,VND-0003,Tata Advanced Systems Ltd,8,Avionics,1803245.62,14425964.96,EUR,2020-06-16,2021-01-26,Nagpur,PG-MRO,Partially Delivered,
454500063,MAT-RAFx-009,VND-0013,Collins Aerospace,7,Safety,749083.49,5243584.43,EUR,2019-06-17,2020-03-13,Nagpur,PG-AVIONICS,Open,
454500064,MAT-RAFx-003,VND-0013,Collins Aerospace,1,Landing Gear,1238167.13,1238167.13,EUR,2024-04-28,2024-10-01,Bordeaux,PG-MRO,Open,PRICE_DEVIATION_HIGH
454500065,MAT-RAFx-004,VND-0010,Elbit Systems India,4,Engine,5469229.91,21876919.64,EUR,2020-06-08,2021-01-12,Merignac,PG-AVIONICS,Open,
454500066,MAT-RAFx-010,VND-0002,Thales Group,10,Avionics,572947.3,5729473.0,EUR,2020-09-30,2021-08-20,Hyderabad,PG-AVIONICS,Fully Delivered,
454500067,MAT-RAFx-003,VND-0010,Elbit Systems India,4,Landing Gear,889489.0,3557956.0,EUR,2023-05-02,2023-11-02,Merignac,PG-SAFETY,Cancelled,
454500068,MAT-RAFx-002,VND-0006,Reliance Defence Ltd,9,Airframe,1779372.87,16014355.83,EUR,2021-01-28,2021-04-03,Hyderabad,PG-MRO,Fully Delivered,
454500069,MAT-RAFx-004,VND-0007,Martin Baker Aircraft,6,Engine,5619314.89,33715889.34,EUR,2023-08-25,2024-05-16,Bangalore,PG-ENGINE,Fully Delivered,
454500070,MAT-MRO-005,VND-0013,Collins Aerospace,9,MRO,193129.39,1738164.51,EUR,2021-08-10,2022-04-20,Nagpur,PG-AVIONICS,Fully Delivered,
454500071,MAT-RAFx-003,VND-0005,Hindustan Aeronautics Ltd,8,Landing Gear,911067.24,7288537.92,EUR,2021-08-09,2022-06-26,Merignac,PG-MRO,Fully Delivered,
454500072,MAT-FAL8-001,VND-0003,Tata Advanced Systems Ltd,8,Airframe,9062422.17,72499377.36,EUR,2023-06-22,2023-12-01,Nagpur,PG-SAFETY,Partially Delivered,
454500073,MAT-RAFx-001,VND-0009,MBDA,4,Airframe,3921531.91,15686127.64,EUR,2023-01-14,2023-09-09,Hyderabad,PG-MRO,Fully Delivered,
454500074,MAT-FAL8-005,VND-0013,Collins Aerospace,1,Interior,3926531.85,3926531.85,EUR,2020-03-29,2020-11-21,Bangalore,PG-ENGINE,Fully Delivered,
454500075,MAT-MRO-001,VND-0009,MBDA,34,MRO,73125.09,2486253.06,EUR,2023-03-08,2024-01-13,Nagpur,PG-ENGINE,Partially Delivered,
454500076,MAT-RAFx-009,VND-0004,Dassault Reliance Aerospace,2,Safety,807616.28,1615232.56,EUR,2020-10-08,2021-01-07,Bordeaux,PG-AVIONICS,Fully Delivered,
454500077,MAT-RAFx-007,VND-0012,Bharat Electronics Ltd,8,Structure,202490.39,1619923.12,EUR,2022-04-22,2023-02-14,Bordeaux,PG-ENGINE,Fully Delivered,
454500078,MAT-RAFx-008,VND-0006,Reliance Defence Ltd,3,Fuel System,482251.96,1446755.88,EUR,2022-12-21,2023-10-20,Nagpur,PG-AVIONICS,Open,PRICE_DEVIATION_HIGH
454500079,MAT-MRO-001,VND-0002,Thales Group,1,MRO,75888.77,75888.77,EUR,2021-08-19,2022-05-21,Merignac,PG-ENGINE,Partially Delivered,
454500080,MAT-MRO-001,VND-0002,Thales Group,5,MRO,97666.44,488332.2,EUR,2019-06-01,2020-04-21,Bangalore,PG-ENGINE,Fully Delivered,PRICE_DEVIATION_HIGH
454500081,MAT-RAFx-003,VND-0004,Dassault Reliance Aerospace,2,Landing Gear,958827.1,1917654.2,EUR,2021-05-02,2022-04-07,Bangalore,PG-MRO,Fully Delivered,
454500082,MAT-FAL8-005,VND-0015,Honeywell Aerospace India,8,Interior,4063821.31,32510570.48,EUR,2022-04-20,2022-12-25,Bangalore,PG-AIRFRAME,Partially Delivered,
454500083,MAT-RAFx-007,VND-0011,Dynamatic Technologies,4,Structure,202092.11,808368.44,EUR,2019-06-16,2019-10-04,Bordeaux,PG-AIRFRAME,Partially Delivered,
454500084,MAT-FAL8-004,VND-0008,Pratt & Whitney,10,Avionics,1890853.39,18908533.9,EUR,2019-03-08,2019-08-03,Hyderabad,PG-AIRFRAME,Partially Delivered,
454500085,MAT-RAFx-008,VND-0015,Honeywell Aerospace India,5,Fuel System,397499.94,1987499.7,EUR,2022-07-04,2023-05-31,Hyderabad,PG-AIRFRAME,Fully Delivered,
454500086,MAT-MRO-003,VND-0004,Dassault Reliance Aerospace,42,MRO,7739.47,325057.74,EUR,2020-06-28,2020-10-08,Nagpur,PG-SAFETY,Open,
454500087,MAT-MRO-004,VND-0015,Honeywell Aerospace India,19,MRO,91104.34,1730982.46,EUR,2021-08-17,2022-02-18,Bangalore,PG-SAFETY,Fully Delivered,
454500088,MAT-MRO-001,VND-0008,Pratt & Whitney,6,MRO,76176.44,457058.64,EUR,2023-12-27,2024-09-03,Merignac,PG-AIRFRAME,Fully Delivered,
454500089,MAT-RAFx-008,VND-0011,Dynamatic Technologies,10,Fuel System,385297.07,3852970.7,EUR,2019-02-12,2019-07-29,Bordeaux,PG-MRO,Fully Delivered,
454500090,MAT-MRO-002,VND-0011,Dynamatic Technologies,29,MRO,48.0,1392.0,EUR,2020-01-07,2020-12-01,Merignac,PG-MRO,Partially Delivered,
454500091,MAT-FAL8-002,VND-0007,Martin Baker Aircraft,6,Airframe,310838.18,1865029.08,EUR,2019-08-03,2019-11-23,Nagpur,PG-MRO,Partially Delivered,
454500092,MAT-MRO-003,VND-0001,Safran Aircraft Engines,30,MRO,7659.53,229785.9,EUR,2020-05-31,2020-12-12,Bangalore,PG-AIRFRAME,Open,
454500093,MAT-MRO-003,VND-0008,Pratt & Whitney,27,MRO,7615.12,205608.24,EUR,2021-11-27,2022-06-30,Hyderabad,PG-AIRFRAME,Fully Delivered,
454500094,MAT-RAFx-007,VND-0005,Hindustan Aeronautics Ltd,9,Structure,197602.04,1778418.36,EUR,2020-08-12,2021-04-23,Merignac,PG-SAFETY,Cancelled,
454500095,MAT-RAFx-008,VND-0012,Bharat Electronics Ltd,3,Fuel System,368493.61,1105480.83,EUR,2019-01-29,2019-12-07,Merignac,PG-MRO,Partially Delivered,
454500096,MAT-RAFx-004,VND-0011,Dynamatic Technologies,3,Engine,5498570.44,16495711.32,EUR,2023-01-07,2023-07-05,Hyderabad,PG-MRO,Fully Delivered,
454500097,MAT-RAFx-008,VND-0008,Pratt & Whitney,9,Fuel System,358394.23,3225548.07,EUR,2020-01-26,2020-12-27,Merignac,PG-ENGINE,Fully Delivered,
454500098,MAT-FAL8-004,VND-0006,Reliance Defence Ltd,9,Avionics,1829220.49,16462984.41,EUR,2019-01-06,2019-06-29,Bangalore,PG-MRO,Fully Delivered,
454500099,MAT-RAFx-005,VND-0008,Pratt & Whitney,9,Avionics,4089727.95,36807551.55,EUR,2020-11-11,2021-09-19,Nagpur,PG-AVIONICS,Fully Delivered,
454500100,MAT-RAFx-008,VND-0010,Elbit Systems India,7,Fuel System,363800.6,2546604.2,EUR,2023-05-08,2024-01-03,Hyderabad,PG-MRO,Open,
454500101,MAT-RAFx-005,VND-0008,Pratt & Whitney,1,Avionics,3854817.55,3854817.55,EUR,2024-05-31,2025-04-28,Hyderabad,PG-AIRFRAME,Partially Delivered,
454500102,MAT-MRO-002,VND-0015,Honeywell Aerospace India,30,MRO,41.51,1245.3,EUR,2019-10-23,2020-06-18,Merignac,PG-MRO,Cancelled,
454500103,MAT-RAFx-009,VND-0006,Reliance Defence Ltd,10,Safety,804049.53,8040495.3,EUR,2022-08-23,2022-11-02,Bangalore,PG-MRO,Cancelled,
454500104,MAT-FAL8-001,VND-0011,Dynamatic Technologies,8,Airframe,10066022.19,80528177.52,EUR,2019-03-15,2020-02-24,Nagpur,PG-AVIONICS,Open,
454500105,MAT-RAFx-003,VND-0007,Martin Baker Aircraft,2,Landing Gear,989576.19,1979152.38,EUR,2022-12-12,2023-03-03,Merignac,PG-AIRFRAME,Partially Delivered,
454500106,MAT-FAL8-001,VND-0013,Collins Aerospace,1,Airframe,9185919.02,9185919.02,EUR,2021-02-06,2021-10-14,Bangalore,PG-AVIONICS,Open,
454500107,MAT-RAFx-006,VND-0003,Tata Advanced Systems Ltd,2,Avionics,3764819.14,7529638.28,EUR,2021-02-22,2022-02-04,Bangalore,PG-AVIONICS,Fully Delivered,
454500108,MAT-RAFx-008,VND-0008,Pratt & Whitney,5,Fuel System,377541.89,1887709.45,EUR,2022-09-27,2022-10-31,Nagpur,PG-SAFETY,Cancelled,
454500109,MAT-RAFx-006,VND-0002,Thales Group,8,Avionics,3963579.5,31708636.0,EUR,2022-04-18,2022-10-18,Nagpur,PG-MRO,Fully Delivered,
454500110,MAT-RAFx-010,VND-0004,Dassault Reliance Aerospace,7,Avionics,655050.88,4585356.16,EUR,2019-08-07,2020-01-05,Nagpur,PG-ENGINE,Partially Delivered,
454500111,MAT-RAFx-001,VND-0014,GE Aviation,7,Airframe,4048450.82,28339155.74,EUR,2022-03-05,2022-04-29,Nagpur,PG-AVIONICS,Cancelled,
454500112,MAT-MRO-005,VND-0013,Collins Aerospace,6,MRO,176682.53,1060095.18,EUR,2020-01-25,2021-01-06,Bordeaux,PG-AIRFRAME,Partially Delivered,
454500113,MAT-RAFx-002,VND-0005,Hindustan Aeronautics Ltd,8,Airframe,1665608.98,13324871.84,EUR,2021-01-17,2021-04-24,Hyderabad,PG-AVIONICS,Open,
454500114,MAT-RAFx-007,VND-0003,Tata Advanced Systems Ltd,9,Structure,222649.08,2003841.72,EUR,2021-01-19,2021-11-16,Bordeaux,PG-ENGINE,Fully Delivered,
454500115,MAT-MRO-001,VND-0013,Collins Aerospace,19,MRO,77958.71,1481215.49,EUR,2020-11-24,2021-02-20,Bordeaux,PG-MRO,Fully Delivered,
454500116,MAT-MRO-003,VND-0006,Reliance Defence Ltd,6,MRO,8581.37,51488.22,EUR,2019-01-29,2019-07-13,Nagpur,PG-SAFETY,Fully Delivered,
454500117,MAT-FAL8-003,VND-0014,GE Aviation,6,Engine,2624539.05,15747234.3,EUR,2020-04-23,2021-01-19,Bangalore,PG-ENGINE,Open,
454500118,MAT-MRO-005,VND-0004,Dassault Reliance Aerospace,2,MRO,189007.96,378015.92,EUR,2021-08-08,2022-02-08,Merignac,PG-AIRFRAME,Fully Delivered,
454500119,MAT-RAFx-010,VND-0008,Pratt & Whitney,2,Avionics,580041.45,1160082.9,EUR,2023-12-23,2024-10-23,Bangalore,PG-MRO,Open,
454500120,MAT-MRO-004,VND-0012,Bharat Electronics Ltd,47,MRO,86914.58,4084985.26,EUR,2021-04-29,2022-04-29,Hyderabad,PG-ENGINE,Open,
454500121,MAT-RAFx-002,VND-0012,Bharat Electronics Ltd,6,Airframe,1718573.67,10311442.02,EUR,2021-06-29,2021-11-26,Nagpur,PG-SAFETY,Cancelled,
454500122,MAT-FAL8-002,VND-0001,Safran Aircraft Engines,7,Airframe,308525.13,2159675.91,EUR,2019-09-08,2020-05-27,Bangalore,PG-AIRFRAME,Open,
454500123,MAT-RAFx-002,VND-0013,Collins Aerospace,6,Airframe,1726147.84,10356887.04,EUR,2019-09-15,2020-07-30,Bangalore,PG-AVIONICS,Partially Delivered,
454500124,MAT-MRO-004,VND-0004,Dassault Reliance Aerospace,15,MRO,89476.4,1342146.0,EUR,2019-10-30,2020-09-29,Bordeaux,PG-AVIONICS,Open,
454500125,MAT-MRO-003,VND-0005,Hindustan Aeronautics Ltd,12,MRO,7688.22,92258.64,EUR,2023-11-10,2023-12-23,Bordeaux,PG-SAFETY,Open,
454500126,MAT-FAL8-001,VND-0001,Safran Aircraft Engines,3,Airframe,9143358.61,27430075.83,EUR,2019-09-17,2020-05-19,Hyderabad,PG-MRO,Fully Delivered,
454500127,MAT-FAL8-002,VND-0009,MBDA,10,Airframe,487721.42,4877214.2,EUR,2021-10-28,2022-03-20,Bangalore,PG-ENGINE,Blocked,PRICE_DEVIATION_HIGH
454500128,MAT-FAL8-005,VND-0011,Dynamatic Technologies,1,Interior,3904874.67,3904874.67,EUR,2021-09-07,2022-04-30,Hyderabad,PG-AIRFRAME,Partially Delivered,
454500129,MAT-RAFx-003,VND-0006,Reliance Defence Ltd,10,Landing Gear,896546.74,8965467.4,EUR,2019-09-16,2020-03-04,Nagpur,PG-MRO,Fully Delivered,
454500130,MAT-MRO-005,VND-0009,MBDA,5,MRO,183629.98,918149.9,EUR,2022-05-24,2023-01-29,Bangalore,PG-AVIONICS,Open,
454500131,MAT-FAL8-004,VND-0008,Pratt & Whitney,4,Avionics,1873799.33,7495197.32,EUR,2023-08-22,2024-05-10,Nagpur,PG-MRO,Partially Delivered,
454500132,MAT-FAL8-001,VND-0011,Dynamatic Technologies,5,Airframe,9308937.56,46544687.8,EUR,2019-11-09,2020-08-07,Merignac,PG-MRO,Open,
454500133,MAT-RAFx-004,VND-0012,Bharat Electronics Ltd,6,Engine,5774356.97,34646141.82,EUR,2022-02-13,2022-04-14,Nagpur,PG-AIRFRAME,Fully Delivered,
454500134,MAT-FAL8-004,VND-0006,Reliance Defence Ltd,7,Avionics,2011900.01,14083300.07,EUR,2023-01-16,2023-03-13,Nagpur,PG-AIRFRAME,Blocked,
454500135,MAT-MRO-004,VND-0009,MBDA,14,MRO,86917.63,1216846.82,EUR,2021-09-14,2022-02-05,Bangalore,PG-ENGINE,Fully Delivered,
454500136,MAT-RAFx-004,VND-0013,Collins Aerospace,5,Engine,5565208.0,27826040.0,EUR,2023-07-12,2024-03-17,Bangalore,PG-SAFETY,Fully Delivered,
454500137,MAT-MRO-003,VND-0001,Safran Aircraft Engines,39,MRO,8762.96,341755.44,EUR,2023-08-26,2024-02-08,Nagpur,PG-ENGINE,Open,
454500138,MAT-FAL8-002,VND-0001,Safran Aircraft Engines,3,Airframe,338936.97,1016810.91,EUR,2022-03-05,2022-10-26,Merignac,PG-AIRFRAME,Open,
454500139,MAT-MRO-002,VND-0004,Dassault Reliance Aerospace,25,MRO,44.42,1110.5,EUR,2020-11-29,2021-03-19,Bangalore,PG-SAFETY,Partially Delivered,
454500140,MAT-RAFx-003,VND-0015,Honeywell Aerospace India,1,Landing Gear,897648.15,897648.15,EUR,2023-03-26,2024-03-06,Hyderabad,PG-MRO,Open,
454500141,MAT-MRO-001,VND-0010,Elbit Systems India,29,MRO,73970.2,2145135.8,EUR,2020-03-17,2021-01-03,Nagpur,PG-SAFETY,Open,
454500142,MAT-MRO-001,VND-0009,MBDA,43,MRO,99116.11,4261992.73,EUR,2020-03-27,2020-11-14,Bordeaux,PG-AVIONICS,Blocked,PRICE_DEVIATION_HIGH
454500143,MAT-RAFx-009,VND-0005,Hindustan Aeronautics Ltd,6,Safety,732574.05,4395444.3,EUR,2021-10-15,2022-06-22,Bordeaux,PG-SAFETY,Open,
454500144,MAT-MRO-003,VND-0014,GE Aviation,43,MRO,10303.79,443062.97,EUR,2019-05-28,2020-01-16,Merignac,PG-ENGINE,Cancelled,PRICE_DEVIATION_HIGH
454500145,MAT-MRO-004,VND-0007,Martin Baker Aircraft,37,MRO,90593.1,3351944.7,EUR,2022-08-04,2023-04-04,Nagpur,PG-AVIONICS,Partially Delivered,
454500146,MAT-MRO-005,VND-0008,Pratt & Whitney,6,MRO,172808.64,1036851.84,EUR,2023-09-26,2023-12-19,Bangalore,PG-AIRFRAME,Partially Delivered,
454500147,MAT-FAL8-003,VND-0014,GE Aviation,5,Engine,2910120.56,14550602.8,EUR,2020-03-29,2020-10-15,Merignac,PG-SAFETY,Fully Delivered,
454500148,MAT-MRO-002,VND-0004,Dassault Reliance Aerospace,50,MRO,43.92,2196.0,EUR,2023-01-29,2024-01-24,Bordeaux,PG-ENGINE,Fully Delivered,
454500149,MAT-RAFx-007,VND-0003,Tata Advanced Systems Ltd,10,Structure,198336.42,1983364.2,EUR,2023-04-04,2024-04-03,Hyderabad,PG-MRO,Open,
454500150,MAT-MRO-004,VND-0013,Collins Aerospace,38,MRO,91247.89,3467419.82,EUR,2024-03-07,2025-01-20,Nagpur,PG-ENGINE,Fully Delivered,
