OpportunityId,AccountId,AccountName,OpportunityName,Product,Quantity,Amount_EUR,Stage,Probability,CloseDate,CreatedDate,SalesRep,LeadSource,CycleLength_Days,Anomaly,Region
OPP00027,ACC0006,Qatar Emiri Air Force,Rafale F3-R — Qatar (27 units),Rafale F3-R,27,2364049515.27,Closed Lost,0,2021-08-15,2019-08-31,Isabelle Bernard,Government RFP,715.0,,Middle East
OPP00028,ACC0007,Indonesian Air Force,Falcon 6X — Indonesia (3 units),Falcon 6X,3,147571109.2,Closed Lost,0,2023-01-19,2022-04-06,Isabelle Bernard,Direct Contact,288.0,,Asia
OPP00029,ACC0007,Indonesian Air Force,Falcon 10X — Indonesia (4 units),Falcon 10X,4,300174401.49,Closed Lost,0,2022-07-02,2021-09-11,Marc Dupont,Air Show,294.0,,Asia
OPP00030,ACC0007,Indonesian Air Force,Training Program — Indonesia (1 units),Training Program,1,3224470.17,Closed Lost,0,2025-06-17,2023-03-22,Marc Dupont,Air Show,818.0,,Asia
OPP00031,ACC0007,Indonesian Air Force,Falcon 8X — Indonesia (3 units),Falcon 8X,3,178175491.93,Qualification,25,2027-07-23,2022-10-04,Isabelle Bernard,Referral,,,Asia
OPP00032,ACC0007,Indonesian Air Force,Rafale F3-R — Indonesia (27 units),Rafale F3-R,27,2212882847.17,Proposal,50,2027-06-01,2022-08-19,Jean-Pierre Martin,Referral,,,Asia
OPP00033,ACC0007,Indonesian Air Force,Rafale F4 — Indonesia (22 units),Rafale F4,22,2211797106.47,Prospecting,10,2027-08-28,2018-07-18,Isabelle Bernard,Direct Contact,,,Asia
OPP00034,ACC0008,Croatian Air Force,Rafale F3-R — Croatia (6 units),Rafale F3-R,6,488052419.57,Closed Won,100,2022-12-27,2019-06-03,Isabelle Bernard,Air Show,1303.0,,Europe
OPP00035,ACC0008,Croatian Air Force,Falcon 10X — Croatia (2 units),Falcon 10X,2,144034535.84,Qualification,25,2028-02-15,2017-07-15,Jean-Pierre Martin,Direct Contact,,,Europe
OPP00036,ACC0008,Croatian Air Force,Offset Industrial Package — Croatia (1 units),Offset Industrial Package,1,15108161.35,Negotiation,75,2018-01-01,2022-10-12,Marc Dupont,Government RFP,,STALE_NEGOTIATION,Europe
OPP00037,ACC0008,Croatian Air Force,Offset Industrial Package — Croatia (1 units),Offset Industrial Package,1,0.0,Closed Won,100,2027-05-06,2017-12-17,Antoine Morel,Diplomatic Channel,3427.0,AMOUNT_ZERO_ON_CLOSED_WON,Europe
OPP00038,ACC0008,Croatian Air Force,Upgrade EW Suite — Croatia (1 units),Upgrade EW Suite,1,8458259.74,Negotiation,75,2018-01-01,2022-09-11,Isabelle Bernard,Referral,,STALE_NEGOTIATION,Europe
OPP00039,ACC0008,Croatian Air Force,Falcon 10X — Croatia (6 units),Falcon 10X,6,406461800.8,Proposal,50,2028-03-04,2017-10-04,Marc Dupont,Government RFP,,,Europe
OPP00040,ACC0009,Airbus Group,MRO Contract Rafale — Spain (35 units),MRO Contract Rafale,35,169349154.04,Closed Won,100,2023-04-19,2018-12-19,Sophie Leclerc,Government RFP,1582.0,,Europe
OPP00041,ACC0009,Airbus Group,Rafale F4 — Spain (30 units),Rafale F4,30,2586080760.41,Prospecting,10,2026-11-22,2019-04-06,Marc Dupont,Diplomatic Channel,,,Europe
OPP00042,ACC0010,Safran Group,Upgrade EW Suite — Germany (1 units),Upgrade EW Suite,1,7957439.63,Closed Won,100,2018-12-22,2017-05-30,Jean-Pierre Martin,Referral,571.0,,Europe
OPP00043,ACC0010,Safran Group,Falcon 10X — Germany (1 units),Falcon 10X,1,79490136.17,Closed Won,100,2026-07-24,2021-11-25,Marc Dupont,Government RFP,1702.0,,Europe
OPP00044,ACC0010,Safran Group,Training Program — Germany (1 units),Training Program,1,3115241.09,Closed Lost,0,2022-10-27,2021-02-13,Isabelle Bernard,Air Show,621.0,,Europe
OPP00045,ACC0010,Safran Group,Spare Parts Package — Germany (1 units),Spare Parts Package,1,2040981.32,Negotiation,75,2027-03-26,2019-01-10,Marc Dupont,Referral,,,Europe
OPP00046,ACC0010,Safran Group,Training Program — Germany (1 units),Training Program,1,3061572.98,Negotiation,75,2018-01-01,2021-10-12,Marc Dupont,Diplomatic Channel,,STALE_NEGOTIATION,Europe
OPP00047,ACC0011,Thales Group,Falcon 10X — India (6 units),Falcon 10X,6,493202455.13,Prospecting,10,2028-02-13,2017-08-23,Sophie Leclerc,Air Show,,,Asia
OPP00048,ACC0011,Thales Group,Falcon 8X — India (5 units),Falcon 8X,5,310685332.32,Prospecting,10,2026-07-09,2021-11-30,Marc Dupont,Direct Contact,,,Asia
OPP00049,ACC0011,Thales Group,Offset Industrial Package — India (1 units),Offset Industrial Package,1,13597155.97,Closed Won,100,2021-04-17,2018-09-21,Antoine Morel,Government RFP,939.0,,Asia
OPP00050,ACC0011,Thales Group,Upgrade EW Suite — India (1 units),Upgrade EW Suite,1,7787119.92,Negotiation,75,2018-01-01,2020-07-11,Sophie Leclerc,Direct Contact,,STALE_NEGOTIATION,Asia
OPP00051,ACC0011,Thales Group,Upgrade EW Suite — India (1 units),Upgrade EW Suite,1,7819179.81,Qualification,25,2027-01-23,2023-04-20,Antoine Morel,Referral,,,Asia
OPP00052,ACC0012,Dassault Reliance Aerospace,Training Program — Egypt (1 units),Training Program,1,2820107.0,Closed Won,100,2021-07-19,2018-07-10,Jean-Pierre Martin,Referral,1105.0,,Africa
OPP00053,ACC0012,Dassault Reliance Aerospace,MRO Contract Rafale — Egypt (5 units),MRO Contract Rafale,5,25249985.74,Closed Won,100,2021-08-19,2020-04-04,Sophie Leclerc,Referral,502.0,,Africa
OPP00054,ACC0012,Dassault Reliance Aerospace,Upgrade EW Suite — Egypt (1 units),Upgrade EW Suite,1,7558786.58,Negotiation,75,2018-01-01,2019-04-04,Antoine Morel,Diplomatic Channel,,STALE_NEGOTIATION,Africa
OPP00055,ACC0012,Dassault Reliance Aerospace,MRO Contract Rafale — Egypt (30 units),MRO Contract Rafale,30,0.0,Closed Won,100,2026-07-29,2023-03-10,Isabelle Bernard,Direct Contact,1237.0,AMOUNT_ZERO_ON_CLOSED_WON,Africa
OPP00056,ACC0012,Dassault Reliance Aerospace,Upgrade EW Suite — Egypt (1 units),Upgrade EW Suite,1,7857272.19,Closed Won,100,2022-07-02,2021-08-05,Jean-Pierre Martin,Direct Contact,331.0,,Africa
OPP00057,ACC0012,Dassault Reliance Aerospace,Training Program — Egypt (1 units),Training Program,1,3108065.39,Qualification,25,2027-11-17,2020-11-12,Sophie Leclerc,Direct Contact,,,Africa
OPP00058,ACC0012,Dassault Reliance Aerospace,Upgrade EW Suite — Egypt (1 units),Upgrade EW Suite,1,8657139.63,Closed Won,100,2021-01-07,2017-08-15,Marc Dupont,Government RFP,1241.0,,Africa
OPP00059,ACC0013,Tata Advanced Systems,Upgrade EW Suite — France (1 units),Upgrade EW Suite,1,8631881.47,Proposal,50,2028-02-11,2017-11-20,Marc Dupont,Diplomatic Channel,,,Europe
OPP00060,ACC0013,Tata Advanced Systems,Upgrade EW Suite — France (1 units),Upgrade EW Suite,1,7349485.45,Negotiation,75,2027-12-17,2018-11-22,Antoine Morel,Referral,,,Europe
OPP00061,ACC0013,Tata Advanced Systems,Offset Industrial Package — France (1 units),Offset Industrial Package,1,13623582.91,Prospecting,10,2028-02-17,2017-04-27,Sophie Leclerc,Diplomatic Channel,,,Europe
OPP00062,ACC0013,Tata Advanced Systems,Spare Parts Package — France (1 units),Spare Parts Package,1,2047243.37,Negotiation,75,2028-02-03,2017-05-05,Marc Dupont,Direct Contact,,,Europe
OPP00063,ACC0014,HAL (Hindustan Aeronautics),Spare Parts Package — UAE (1 units),Spare Parts Package,1,1918973.55,Closed Won,100,2019-03-13,2017-10-26,Sophie Leclerc,Referral,503.0,,Middle East
OPP00064,ACC0014,HAL (Hindustan Aeronautics),Offset Industrial Package — UAE (1 units),Offset Industrial Package,1,13931006.07,Closed Won,100,2023-01-04,2020-07-31,Marc Dupont,Diplomatic Channel,887.0,,Middle East
OPP00065,ACC0014,HAL (Hindustan Aeronautics),Upgrade EW Suite — UAE (1 units),Upgrade EW Suite,1,7369894.29,Negotiation,75,2027-01-30,2019-09-18,Jean-Pierre Martin,Referral,,,Middle East
OPP00066,ACC0015,MBDA India,Offset Industrial Package — Greece (1 units),Offset Industrial Package,1,14754404.23,Closed Won,100,2022-07-11,2018-10-17,Sophie Leclerc,Direct Contact,1363.0,,Europe
OPP00067,ACC0015,MBDA India,Upgrade EW Suite — Greece (1 units),Upgrade EW Suite,1,7946904.19,Negotiation,75,2026-08-02,2020-06-17,Sophie Leclerc,Government RFP,,,Europe
OPP00068,ACC0015,MBDA India,Offset Industrial Package — Greece (1 units),Offset Industrial Package,1,14558685.27,Proposal,50,2028-01-03,2017-07-27,Isabelle Bernard,Referral,,,Europe
OPP00069,ACC0015,MBDA India,Upgrade EW Suite — Greece (1 units),Upgrade EW Suite,1,7213083.85,Proposal,50,2027-01-27,2018-03-17,Marc Dupont,Air Show,,,Europe
OPP00070,ACC0015,MBDA India,Spare Parts Package — Greece (1 units),Spare Parts Package,1,1820463.07,Qualification,25,2027-11-19,2023-04-21,Isabelle Bernard,Diplomatic Channel,,,Europe
OPP00071,ACC0016,Reliance Defence,Offset Industrial Package — Qatar (1 units),Offset Industrial Package,1,15541195.92,Qualification,25,2026-08-09,2018-05-02,Marc Dupont,Diplomatic Channel,,,Middle East
OPP00072,ACC0016,Reliance Defence,MRO Contract Rafale — Qatar (10 units),MRO Contract Rafale,10,0.0,Closed Won,100,2026-06-12,2022-09-17,Sophie Leclerc,Referral,1364.0,AMOUNT_ZERO_ON_CLOSED_WON,Middle East
OPP00073,ACC0016,Reliance Defence,Training Program — Qatar (1 units),Training Program,1,3011599.63,Negotiation,75,2027-10-11,2018-09-03,Marc Dupont,Government RFP,,,Middle East
OPP00074,ACC0016,Reliance Defence,Spare Parts Package — Qatar (1 units),Spare Parts Package,1,2196246.3,Negotiation,75,2027-10-03,2020-05-10,Antoine Morel,Referral,,,Middle East
OPP00075,ACC0017,GE Aviation India,Rafale F3-R — Indonesia (24 units),Rafale F3-R,24,2087095504.43,Closed Lost,0,2020-02-10,2018-03-25,Jean-Pierre Martin,Diplomatic Channel,687.0,,Asia
OPP00076,ACC0017,GE Aviation India,Training Program — Indonesia (1 units),Training Program,1,2859318.26,Closed Won,100,2023-04-27,2019-07-22,Antoine Morel,Direct Contact,1375.0,,Asia
OPP00077,ACC0017,GE Aviation India,Falcon 8X — Indonesia (6 units),Falcon 8X,6,341438152.33,Qualification,25,2027-07-27,2018-03-27,Sophie Leclerc,Direct Contact,,,Asia
OPP00078,ACC0017,GE Aviation India,Upgrade EW Suite — Indonesia (1 units),Upgrade EW Suite,1,8439955.68,Closed Won,100,2026-11-27,2022-04-16,Antoine Morel,Government RFP,1686.0,,Asia
OPP00079,ACC0017,GE Aviation India,Upgrade EW Suite — Indonesia (1 units),Upgrade EW Suite,1,7720079.26,Negotiation,75,2027-03-19,2022-05-14,Antoine Morel,Referral,,,Asia
OPP00080,ACC0018,Honeywell India,MRO Contract Rafale — Croatia (17 units),MRO Contract Rafale,17,86871301.86,Closed Lost,0,2020-03-08,2019-02-27,Marc Dupont,Referral,375.0,,Europe
OPP00081,ACC0018,Honeywell India,Falcon 6X — Croatia (6 units),Falcon 6X,6,281069366.03,Negotiation,75,2027-11-26,2020-07-22,Marc Dupont,Referral,,,Europe
OPP00082,ACC0018,Honeywell India,Rafale F4 — Croatia (35 units),Rafale F4,35,3244996633.27,Closed Won,100,2026-04-03,2021-06-05,Marc Dupont,Air Show,1763.0,,Europe
OPP00083,ACC0018,Honeywell India,MRO Contract Rafale — Croatia (29 units),MRO Contract Rafale,29,149523189.47,Qualification,25,2027-11-04,2022-05-17,Marc Dupont,Government RFP,,,Europe
OPP00084,ACC0018,Honeywell India,Rafale F4 — Croatia (16 units),Rafale F4,16,0.0,Closed Won,100,2026-12-26,2022-12-16,Isabelle Bernard,Referral,1471.0,AMOUNT_ZERO_ON_CLOSED_WON,Europe
OPP00085,ACC0018,Honeywell India,Training Program — Croatia (1 units),Training Program,1,2760326.94,Prospecting,10,2027-11-16,2018-07-18,Isabelle Bernard,Direct Contact,,,Europe
OPP00086,ACC0019,Collins Aerospace India,Falcon 6X — Spain (3 units),Falcon 6X,3,130171527.96,Closed Lost,0,2018-02-28,2017-08-31,Jean-Pierre Martin,Government RFP,181.0,,Europe
OPP00087,ACC0019,Collins Aerospace India,Spare Parts Package — Spain (1 units),Spare Parts Package,1,2152897.99,Closed Lost,0,2019-04-28,2018-12-22,Isabelle Bernard,Government RFP,127.0,,Europe
OPP00088,ACC0019,Collins Aerospace India,Falcon 10X — Spain (1 units),Falcon 10X,1,67639007.53,Negotiation,75,2027-04-10,2023-05-16,Antoine Morel,Diplomatic Channel,,,Europe
OPP00089,ACC0019,Collins Aerospace India,Training Program — Spain (1 units),Training Program,1,3233555.98,Closed Won,100,2021-08-15,2018-07-04,Marc Dupont,Government RFP,1138.0,,Europe
OPP00090,ACC0019,Collins Aerospace India,Training Program — Spain (1 units),Training Program,1,3088971.2,Prospecting,10,2027-04-12,2019-02-02,Sophie Leclerc,Government RFP,,,Europe
OPP00091,ACC0019,Collins Aerospace India,Offset Industrial Package — Spain (1 units),Offset Industrial Package,1,16068439.51,Closed Won,100,2024-12-05,2021-07-19,Jean-Pierre Martin,Government RFP,1235.0,,Europe
OPP00092,ACC0019,Collins Aerospace India,Falcon 8X — Spain (4 units),Falcon 8X,4,231532880.16,Prospecting,10,2027-05-29,2019-10-14,Marc Dupont,Referral,,,Europe
OPP00093,ACC0020,Rolls-Royce India,Offset Industrial Package — Germany (1 units),Offset Industrial Package,1,13534307.2,Closed Won,100,2021-11-15,2021-01-12,Sophie Leclerc,Direct Contact,307.0,,Europe
OPP00094,ACC0020,Rolls-Royce India,Upgrade EW Suite — Germany (1 units),Upgrade EW Suite,1,8676969.62,Closed Won,100,2024-07-24,2020-06-27,Antoine Morel,Government RFP,1488.0,,Europe
OPP00095,ACC0020,Rolls-Royce India,Falcon 6X — Germany (2 units),Falcon 6X,2,89607274.2,Closed Won,100,2025-12-28,2022-02-07,Isabelle Bernard,Diplomatic Channel,1420.0,,Europe
OPP00096,ACC0020,Rolls-Royce India,Falcon 6X — Germany (2 units),Falcon 6X,2,93246154.56,Negotiation,75,2027-10-24,2017-12-02,Antoine Morel,Air Show,,,Europe
OPP00097,ACC0020,Rolls-Royce India,Rafale F3-R — Germany (36 units),Rafale F3-R,36,3501071527.84,Negotiation,75,2026-10-02,2019-04-09,Isabelle Bernard,Air Show,,,Europe
OPP00098,ACC0020,Rolls-Royce India,Falcon 6X — Germany (6 units),Falcon 6X,6,274489974.64,Closed Won,100,2021-01-04,2018-01-08,Antoine Morel,Direct Contact,1092.0,,Europe
OPP00099,ACC0021,Boeing India,Offset Industrial Package — India (1 units),Offset Industrial Package,1,13673210.34,Closed Won,100,2024-05-28,2022-03-09,Jean-Pierre Martin,Government RFP,811.0,,Asia
OPP00100,ACC0021,Boeing India,Offset Industrial Package — India (1 units),Offset Industrial Package,1,13719088.58,Proposal,50,2026-07-06,2021-10-02,Jean-Pierre Martin,Direct Contact,,,Asia
OPP00101,ACC0021,Boeing India,Rafale F3-R — India (19 units),Rafale F3-R,19,1678832492.05,Closed Won,100,2023-02-06,2018-07-09,Isabelle Bernard,Direct Contact,1673.0,,Asia
OPP00102,ACC0021,Boeing India,Spare Parts Package — India (1 units),Spare Parts Package,1,1950258.21,Qualification,25,2027-04-23,2023-01-18,Isabelle Bernard,Diplomatic Channel,,,Asia
OPP00103,ACC0021,Boeing India,Falcon 8X — India (6 units),Falcon 8X,6,394468155.15,Closed Won,100,2019-03-17,2017-01-15,Isabelle Bernard,Diplomatic Channel,791.0,,Asia
OPP00104,ACC0022,Lockheed Martin India,Falcon 6X — Egypt (2 units),Falcon 6X,2,0.0,Closed Won,100,2026-08-25,2018-09-28,Isabelle Bernard,Diplomatic Channel,2888.0,AMOUNT_ZERO_ON_CLOSED_WON,Africa
OPP00105,ACC0022,Lockheed Martin India,Rafale F3-R — Egypt (16 units),Rafale F3-R,16,1355351507.09,Negotiation,75,2027-08-02,2018-02-18,Jean-Pierre Martin,Government RFP,,,Africa
OPP00106,ACC0022,Lockheed Martin India,Rafale F3-R — Egypt (26 units),Rafale F3-R,26,2311434595.78,Qualification,25,2026-06-28,2023-01-20,Sophie Leclerc,Diplomatic Channel,,,Africa
OPP00107,ACC0022,Lockheed Martin India,MRO Contract Rafale — Egypt (21 units),MRO Contract Rafale,21,99474984.73,Closed Lost,0,2020-04-24,2018-08-10,Jean-Pierre Martin,Diplomatic Channel,623.0,,Africa
OPP00108,ACC0022,Lockheed Martin India,Offset Industrial Package — Egypt (1 units),Offset Industrial Package,1,16139141.67,Negotiation,75,2018-01-01,2018-12-19,Marc Dupont,Direct Contact,,STALE_NEGOTIATION,Africa
OPP00109,ACC0023,Egyptian Air Force,Upgrade EW Suite — France (1 units),Upgrade EW Suite,1,7709975.13,Proposal,50,2027-03-05,2021-09-02,Isabelle Bernard,Government RFP,,,Europe
OPP00110,ACC0023,Egyptian Air Force,Falcon 6X — France (3 units),Falcon 6X,3,144653613.44,Closed Won,100,2019-06-09,2018-08-15,Antoine Morel,Diplomatic Channel,298.0,,Europe
OPP00111,ACC0023,Egyptian Air Force,Falcon 8X — France (4 units),Falcon 8X,4,227657208.77,Proposal,50,2026-07-21,2019-04-13,Jean-Pierre Martin,Diplomatic Channel,,,Europe
OPP00112,ACC0023,Egyptian Air Force,Falcon 6X — France (1 units),Falcon 6X,1,42916154.29,Closed Won,100,2018-12-28,2017-06-11,Antoine Morel,Government RFP,565.0,,Europe
OPP00113,ACC0023,Egyptian Air Force,Training Program — France (1 units),Training Program,1,2825333.45,Proposal,50,2026-05-17,2020-09-25,Jean-Pierre Martin,Direct Contact,,,Europe
OPP00114,ACC0023,Egyptian Air Force,Falcon 6X — France (6 units),Falcon 6X,6,275637682.84,Proposal,50,2027-01-02,2019-04-18,Isabelle Bernard,Direct Contact,,,Europe
OPP00115,ACC0023,Egyptian Air Force,Upgrade EW Suite — France (1 units),Upgrade EW Suite,1,8237954.14,Proposal,50,2027-10-09,2020-06-17,Isabelle Bernard,Referral,,,Europe
OPP00116,ACC0023,Egyptian Air Force,Falcon 6X — France (3 units),Falcon 6X,3,129948894.51,Negotiation,75,2018-01-01,2017-07-07,Antoine Morel,Diplomatic Channel,,STALE_NEGOTIATION,Europe
OPP00117,ACC0024,Royal Saudi Air Force,Spare Parts Package — UAE (1 units),Spare Parts Package,1,1918076.92,Proposal,50,2027-05-25,2019-03-15,Antoine Morel,Referral,,,Middle East
OPP00118,ACC0024,Royal Saudi Air Force,Falcon 10X — UAE (4 units),Falcon 10X,4,327990496.04,Negotiation,75,2027-04-27,2022-07-03,Isabelle Bernard,Government RFP,,,Middle East
OPP00119,ACC0024,Royal Saudi Air Force,Upgrade EW Suite — UAE (1 units),Upgrade EW Suite,1,8784517.67,Negotiation,75,2026-07-17,2017-08-29,Jean-Pierre Martin,Direct Contact,,,Middle East
OPP00120,ACC0024,Royal Saudi Air Force,Falcon 8X — UAE (6 units),Falcon 8X,6,340663204.23,Prospecting,10,2027-10-01,2018-09-11,Antoine Morel,Direct Contact,,,Middle East
OPP00121,ACC0024,Royal Saudi Air Force,Training Program — UAE (1 units),Training Program,1,0.0,Closed Won,100,2026-05-14,2022-12-20,Marc Dupont,Diplomatic Channel,1241.0,AMOUNT_ZERO_ON_CLOSED_WON,Middle East
OPP00122,ACC0024,Royal Saudi Air Force,Falcon 10X — UAE (1 units),Falcon 10X,1,75033240.48,Closed Won,100,2023-04-30,2021-10-30,Sophie Leclerc,Government RFP,547.0,,Middle East
OPP00123,ACC0025,Malaysian RMAF,Offset Industrial Package — Greece (1 units),Offset Industrial Package,1,0.0,Closed Won,100,2027-06-12,2020-12-22,Isabelle Bernard,Direct Contact,2363.0,AMOUNT_ZERO_ON_CLOSED_WON,Europe
OPP00124,ACC0025,Malaysian RMAF,Offset Industrial Package — Greece (1 units),Offset Industrial Package,1,14229623.68,Proposal,50,2026-07-23,2019-07-15,Jean-Pierre Martin,Air Show,,,Europe
OPP00125,ACC0025,Malaysian RMAF,Spare Parts Package — Greece (1 units),Spare Parts Package,1,0.0,Closed Won,100,2028-02-13,2023-03-14,Sophie Leclerc,Air Show,1797.0,AMOUNT_ZERO_ON_CLOSED_WON,Europe
OPP00126,ACC0026,Singapore Air Force,Spare Parts Package — Qatar (1 units),Spare Parts Package,1,2057962.9,Negotiation,75,2026-08-07,2020-09-18,Sophie Leclerc,Government RFP,,,Middle East
OPP00127,ACC0026,Singapore Air Force,Offset Industrial Package — Qatar (1 units),Offset Industrial Package,1,14926500.86,Closed Lost,0,2019-09-08,2017-07-10,Antoine Morel,Air Show,790.0,,Middle East
OPP00128,ACC0026,Singapore Air Force,Falcon 8X — Qatar (3 units),Falcon 8X,3,162563691.43,Negotiation,75,2028-04-30,2019-04-29,Marc Dupont,Government RFP,,,Middle East
OPP00129,ACC0026,Singapore Air Force,Offset Industrial Package — Qatar (1 units),Offset Industrial Package,1,14221416.58,Closed Won,100,2024-11-20,2021-05-13,Sophie Leclerc,Air Show,1287.0,,Middle East
OPP00130,ACC0026,Singapore Air Force,Upgrade EW Suite — Qatar (1 units),Upgrade EW Suite,1,8392730.5,Prospecting,10,2027-07-23,2020-11-17,Antoine Morel,Diplomatic Channel,,,Middle East
OPP00131,ACC0027,Swiss Air Force,Spare Parts Package — Indonesia (1 units),Spare Parts Package,1,2187568.21,Prospecting,10,2027-02-05,2020-08-29,Sophie Leclerc,Referral,,,Asia
OPP00132,ACC0027,Swiss Air Force,Upgrade EW Suite — Indonesia (1 units),Upgrade EW Suite,1,8705828.55,Qualification,25,2027-12-22,2021-11-04,Antoine Morel,Referral,,,Asia
OPP00133,ACC0027,Swiss Air Force,Falcon 6X — Indonesia (6 units),Falcon 6X,6,246969360.92,Qualification,25,2028-04-29,2020-01-03,Isabelle Bernard,Referral,,,Asia
